id,prompt,answer,reference_steps,canary
11,p/XIpfTtp+D4xcrHsc6StdTPvOfcxvbss//0z/3ctPzZtpvkYhC/8M2h+b2z4+O8n9aq9OOo/YfF2ceL4c6fvMe99tXH4uaM6fKNnNqA6OW70cmV5fzd4NyG+LXRsvTI0v3VqILQ2bPXlOnS4uQ=,q9HC,c2tupdjRpubpwsTdsv2Atfr8sMLCxcH3sNnSyerItvXVtJjosaDNo/3Fq57DoNDkE3Zgf6z04yQSTUFdWFxK49BkeXkTQVGA1MViHmpFjPDJjd71hPGEh9/HhaiG0sK8gOOy15aAh6yJyviPhcG8hMWxhoST0L+j04iopcPapMr0ru7Hx9THvO+at/DFsPbQyOHgsM/YxsjQttnIu6fQtpHOpcL0qLDIouz2xPfOpcjDqpKsi+/ZhP3vxdfRoMOxndP7ieX8ysbcgPDvhuHwaVwUQoHZ7AIBBo2S+IuSvMub9tuNro6N7oGx6YOGz9Wxhd6uttyGzaLUx6HK0Lf6vqfB1g==,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-DeepSearch:beab185e-cc30-4b33-a1bf-bf1a01982696
12,pv7AcnF5eLfylKHJ5HMQY3Gq7PirnMKh7ui3u/y1z8uox6el6Zq1w+Kv25C9wtexmfur0c6r57DJ9t6J+MycqMGx8M/F3PiA3vI=,dmt+d20=,c2tuqsjXqe3MxtTds/WCtvTas9/Kz/LJsObSx/XytP3st7v8tJvPpO/oq5ngrNHgw8/MRntgZceg6oflyJfliHVleHTFwdaB1+iNvcqC//S03v6azcnf29GI64XXienF3PjWtYjQ2InWosLWzeHO4uQ7Uh4R35uy0Y2Up83+cnF5eLfylKHe2qi11Kz176nLg3tyYHC2mMa06v+u7qxzYxBpqfj9eBRhdGqwmMiq9vOtxawqV09OSURLEX9jZnEXTldMMEtZAnJVTF1iWFFcU1wKVlY=,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-DeepSearch:beab185e-cc30-4b33-a1bf-bf1a01982696
13,q/7fqvbUp+PUw8TAsdGptdbYtszFyPD4s+vTz/3ctcDwtLzItoTKqfHYqpj+oMTkxffMq/PprY+shfXRhP/sxPrYrfyuncbzi/jVy8rAgNP3it3t,c3c=,c2tupdjRpubpyPr8se+hu+nDs9j7xcL/s83Az/3ct+Tvt47btq/6qt3AqpjtoeDIxPfAqtXTrJy8he/LhNHdw8fXQ3YOWIT18oTcj6H17JbN8onT746u3YDt2NSwp4qR74SSnsia+Na8h4et64OW1I6P2NWGp9uyt9C22KDC1a31w7HLoaPY6aS/3a3316j8rqjZy6zgvKLQ0aH+1sf8xMbG46fH68X34VJnDm+o3NWp8YzJ2PCH3+ufkdi96MjG7N2A4tmNpdaK2fy07MCW29Hc0/qE2rPbteTE28LblZLR2rHQreDV39XL/s7X95/UgbrRtrjf++Gr8d+o+dCooMWo79DG4fuq7c6noM+g2cm7mOy14fSk6qKi06G08Muv1oWx/dq3oM6r6O6rwJrFzeiL09+cvPewxf7PxO5ditvCyNjVgPzpgdn8h9e+hdj2hKeX0+uIhsCX0622aAcdDVkaUU0cX1cD,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-DeepSearch:beab185e-cc30-4b33-a1bf-bf1a01982696
14,AKLl2j09perwycXSsc6PusncBi8tRSAmM2VgEHNitfz1tYztt5rcr8HIqpjdptjVxdTVqPHkoIODhtvIhP3oxf/Wrt6knuvliP/hxePjjNLCgNHzivWYht3MjY200+WWhuaC1rG9h5epyNGght6HhtyLhrmY1oS63767p+HDpNLJpejxx83osc6KtObYsfTExuLkufnbz/3cuPrYtprat5rqqsHyq6Xlo9PrxPXIqe3UoJ6xh9nEid3DyPPIrPS0ncfz,cA==,c6bOwq/h7bbxrKfB1aWY2qvP1Knfu6r9/KD/g6Tq9qPZ/cbN1BR9fXOv0qhed7vUoanH36zyxUzHyPiB3f6fqfmwwfTJ+fGA4cyBrNc2Bhk2CwIXhPK+ht3ai5CNP1bO4+Lbn4hBEteLllMBUFTI29IFTAED36S60oG2p8D/psfcpOrIxP7HbaWY+aDo06XmsURxtcXTyNjtt8H3t4X8toTKqPnjqpruotH9xdTwq8DJqpKsh9zoh+rWxcLjrOq+ndLUitvMyfzPgcjegPH+hPK+ht/baATbteTFzOXWuIbR5YnbkvjV2sLJ2szV24rWsJHXvr/Tyu6o2+eqyeOuu+Snwu7Fzu6qx8Civeaj2uq3jsC/7M2kz6el65q09s2t9Jqy2dixmPem68ip36rH5saJ6PWWnM5ff6eg+Yvl9IvXqqzV0pb+6Yfi/4+OwIrd7tawhIC2w4Wln8ipxNahoYesyoChzYOf4NW5v926nd+9/aH0xaz1wbbziqzu7qmUzq3/wanhtkRytcXTxvDStdfNvZzNt5rcqPvzqKDvoN3lxsTxqPPIoZaEh9nEid3DyPPIrPS0ncfz,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-DeepSearch:beab185e-cc30-4b33-a1bf-bf1a01982696
15,q93xqs/BpOX/xfP1ssmwtOPEs9vyz/LJZ322ncy12N6k9aukyIK51N6vxrCx1MCwmOKh8MWr4r3Jys2N4fOch9S93eXD+OOAyfCNkeSC//S27fqXxOPe2N+G+LXdjNbI/uTWiZnd3Lfcke3V3fvK9//V2bDVhLXXhrbQ1/U=,cXFgcA==,c2uo09Sq9fCknN6ozP7J1MSq4vihl/qj3tW1i8q2x/NwasT83sXY16TuxcTu/7fouic6ODk9fwEPFBYZTxEXUDd7KioPHg0GGxBHGHZVUUFrSwkGDgQwUEtBhLur0Oq7heuj14a/h4qHydqMjdq3U18IWNWIjTIBGBnQyNarzN58ebb2raHJz6SH2Kz176P4uqfs+qHosaLQ0aDsy8X898X+y6LJz8nT1L3vmqnT4arOxMudzon735H5oa/B6KGU/4baz4DorKHZxZfC/oLy4o2q1oPS0dirmIat4oSoq8mM4tqQs4Kx44CI3oCn5tiypduyt9CM+azb/K/P3bHLoa3e/ae13KvP1KT0gqr9wKLXrKLQ0aPJ5sfO2cPQzanbxcje9rvUoabJ3azk3sud0oLu4JfoiKHX76y5wYHl74vYj6Dd85Tr+YLy4o2Hz4Le3te1gm8ZTUPWtZvQ2p7WivLYy8rO4ufUxqPZrZnRtrjT5dar/+iq29aknMik3MfF2+OpycWtieKh7NSxoMC4xOSk5qel7IGzzMCs8oCz1MNeFWFuqtnSopqChc7hhcr5xPrYr8ywnfP9ifnsyMPfguTMgNjGh9OHjdnphaiG0N+LhPqN14qljY+6wt2ri8+Bhtygjoy5CAEEAtaKzi06Nzg+e31kQiUoPyQOMSkmMTlqQyEoeSwmRSx/dQB4d2F4dmETaQR9a2IVYGFlD3l8eXuh+afD4+CLzOucneOw58PPxOpUV1RcwvjshvDSjObjhtOAhPjMjY2wBFwaU4yPuc6049aOgImk3ImR6lcIVgHehbHRtrje1uSr98+p/vOknMxwbXcUvPTGtszFxfLlsdTJz/3YYXx3ZM/92sPQzaTZ+sbn9rHHjaDyxHh3chvP3+iN4fOeu9yx8cTJ2/yK0uuHkc2G5fG1wN2U9e/S4fmO3rkJDFMUjN+60621i4mIxPSOheSxjdq5UAkGC9eOv9q2w6zR6q7Yzr33qKv93aKg0qD/96j8tqnA2qruqHBpZ3Wu7qmi06G2xPWuwaq7+dBlGXh4o/XHpq6hi/PlifjKz/vdeH0XSY3Z54DorK3i9JX5/oTP0oeG6ord69K4tIC8y4WxlsWt29yPpVAIWlbC3u/S4bHUgbDUrojT8fWh/8Ci/duooMWk6ezH7PSp2PurnMaq6sxyKnd+cK3v88fvxBFpdXis95Sy0u6zusur9f2n+6rP3/tfWEtADXZsf3AdS1eK0u9ZFH1cSEFqU1VPUF3V3ulQWwgBGFQUVVUOAx4+VR0TyO6nh9+eh/u2hLCN1oSo2YW+cXBlcH1mcmGknM1udHIAbmh8YWJ3,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-DeepSearch:beab185e-cc30-4b33-a1bf-bf1a01982696
16,ocXEpt7RpejxxeHGsee5tuzTtszPx+Lpsv3Sxezzt9/FtLzBt53jqdfVq6nzoOjbydfRo/XCoZW2h9rChO7Rx+v5rfygkN/LifnsyPXwg8zHgdzuhvu7ht3MjY200/mthvO91JW0ho6+yOaLh/qXhfy1h4yl3Kmq0KGZqvXP,pcvFpvP3pN/F,c2tupcHepO7LxtTds/WCtvTas9/Kz/LJsNXOx/XyssXdsaDLtrbMqPvzq4XToP7NxevSr8nFooKMh9nuhN/ax93Rr9ignN/Wi/X0yM3CgMDcjPnthfCVh/bLhomS1+WwaVEdEMib3tu7h4m20YC9/oGFw9eKqt6sqt6a7qH2w6z16733uiw1IDFTaWdgNy0tSickPiQ9DiMxOSE0fEMuPg8jcygtcxFsdWFiE3d3eHh8dxcZUFNcUEJfVyEndDdQEQYAHEUOQjZYFRNZVk9SheGEh+3RgLGk0/mth96A1buoh7qUyNG+i/6ygOasjoy93KOp05qdp9XCpujPp9zZxdTMs+2Mt/DPtszGKnprdqPCvKbk8qfBzsXayMXz56TZwsX0x73RiKbN5K3z2cuz4oPu/HhMDmew5vjI8MiN6dCOvdiC0dK03vKU/fTV3v8JFkVIRl8CTBRERwNOClpbWE9SDQsCExNUEkRYVlYdAA8AenB4cHF9bjMlUzMkJm4TZXp9YH10EH90XHN8AKfG16H5/8bZ7cf09qLJxMXR7r3Zoav2zKDU+82g6If2zpXVjKPtyaCY0ofsyYX0gU5SS1C19f2V18rY4vmC4rvdsM7I7uLXiK3d+I3QrerT4vvFxeDYw6HehbTUv6rT/sWp7+Sp+dKvmO6p88fJ8dmg6dYsVDo1JX99DzYnJ2sjO0woMUk8JW8qIU17MzEwRSBhDh9/M0xRKTgiJDgcD3gjLRtTFxcXDQZVSXNXA0cyBlIUUFkDU1dVAFVZDAAUVgBVAxxVUgMHGwQ7WkgNisGzhqy60Z+035unrfnCpvTNpM7xxtjIZ6Wd3q7zwanVuKvA86DOmq7s3KL79BV7ZhC369Os6qSxytCyvMaq9Mmq+KPG3/WL8OqcpeKw1f7D+OCDw8eNvcqD19G1+eiU9djc3vGE86ndsMDI/9nQsK8+Wx0TyPqRhMuJV1wEUdervd6Ootyn2qH2+a7RwbfbrqD51KWd3q3I76nYmkR0ZmtyyObCuMzztLjutrTAqcLuoZzYo9H6xvPapMnLo7aPhO/lhMnDxcrbqsSi,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-DeepSearch:beab185e-cc30-4b33-a1bf-bf1a01982696
17,pP3LpsXDpPbsxennsfqatejuvcv3xvfTsdDGxeX3tejntKjRtIvbqt3Wp7fgquTYxPfjqe3grZqChNrhhNbexerzrMqmnNneiMPJxNHagOP5gdnYhs+phNXuhK240MG3jN+s,pcvF,c2uo09Sq9fCtmMGk2c/F9++q+Oqhm/Sj9uS0t/e5x/F7YxlwYsXp+HWv0qhmc77DhUV8Yq/e2cmUwYfX95XstKLx7qGN3oTt/oTDpqLy05nE0VtSUVgLV4DY1gLeqe0fVIWklQE+UR3Vvf3W1sTJ2sLV2ZrXro7boY3T0+2o39eox9eknMil7OzF9+an4e6jm8Gg8uK3jee22cWnzqmn2KW09/qh8aey5fm9tfCp1s2q/5QaQ4fz75bDqKHNy6eg+YTt4IbFvaH36ZPT5Ib86I+B74zu6NK4tI2uwoSYu8uh+9CzrISf64OS9YC58dOxuNGrvtyQwKzw2qvNwLfsvKLZ2qmfz6vP1KXdqKbK3KzBiKLQ0aLP2cbe/MbF4KLJz8fazr3tn6f+6kN6a8uo9IXW35fppKPt46KA2Yvw0YTyqaHC9pbj6oTL1Y+B/Y3Pw96EuYCo0lID1JC5hJOSxPSOjdqhh+OHhYic36W8056lc6H0+avNwLTDrqHmx3DE6fKs1c2jrsWg8dZhxPvqs8XAuqPgtofDfaXz9MPUxL36qarp33iq/5TD4+CH+Pqch9Rnrf6am+Lki8T0yOP2VJTp34Ly4WIPTIDf9dS/j4Ox44qYqMSW89aUvoeB7YmR+IG/6g==,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-DeepSearch:beab185e-cc30-4b33-a1bf-bf1a01982696
18,pv7ApNjLp9H4xvX8vPyGtcDfsufPyMn2s/Xdx/DjtvT8up3nAHVnpPzvq77frMzUycjBo/XGrLqhhuz7js7wx+fhrMmhnNriiP/3xNPRiszfjfXohfWfh+DQip+Z0Oq8hved1aqUhJ+NxdyOituLjdqu,cA==,c2tupdjRpubpx9THssKTtfnyvfHixsbVse7ZxtbmudL1aABzYxFlqfj9ecbIzWmyt+pEfmlgo768hNXMhML2x/bmr/WdkN/DPTZfxfnDgO7YjPXyiu+1jdnpi6W50Oi4jN+6142Ah76yydm2hPGbi/GFjoyrCwgAAtyP9nCo38B0p8XuKndvdKewz6/796TQuqjY86Pjnant9qPJwsfq2MjX/6XyxMXb1L3so6jUyK/Hxci86onTx5fnq6Law6Glzofq/4b8g6Ly05nE0VtSJjwDSldRUAQWBkzO4+J2ZBocUAMBHE8AS4Wt4yNlVBgDCQoDH9q2wwAadhxlc2J5FW2i1MBlAHBnZ3x1GGem1sQXc3d4YnVwagmi06EVD3ZhfBBmd3G3oM4LD39mdx4SU0iN4fM8c3B9e3QSSkuG7uItfX1NV0BiU0h4V0Yai+Xoh76u0OKXh9uX1JWehKSFxPaFheSUhPquiKeF0ayo0KSTp8rfptzjpsjPyPnnsd+raWinwdaivetlExZqw8HRuNHbtL3kc2UDeqLJz8jA377JhW8LD3+txa/I9/uI/NdZZRRiqsShkPb/iP7NDQEmUpPT5Inm+Y6nx0UkNgbbteTF9/nVrYgUJ2cGzuGwivK3hPuUQXVhADIHGBnTysOry+Or4tKslOan+87G//an6OqhvsWh6eS0oe6/7Mmk2oSnxY221O6s3oaw/eK8nfCm8e9EcwAAhNrxidzYyPrqofmGkN/Di/3jy9HVgN3EX0FAWEjS9v+H/5R9YVDO4+J2ZBo=,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-DeepSearch:beab185e-cc30-4b33-a1bf-bf1a01982696
19,q+PXpfDipermxtLGseWHtuXpuvDMxvn0s9nhz/3Zt9/Fu7/otbnDqcTAqLXNo9bcxdPmDx8eFxwQUVSL5MOcr9a96OzEwuSA6cOPgsONy8q18+ad3/c=,dw==,c2tuptTlBj0kRygkdDJDOycjND6isNKi4ue7v+i2ydak16lLYQ5wpcHTpp/TAjc7RyMrbDotLUFMAhOJ+/aQgfK81ObIx/mA68aBsu2D/OO24OiU9vHc7O2G+LXcjc/J2dnXiJbdw4Y5Hk8Rh/qFhPCBiKeK35i93reBp8rYAB4dE2B7EnGmzsXI/fKpw8uhr9+t9+20tfG518ql6pp0,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-DeepSearch:beab185e-cc30-4b33-a1bf-bf1a01982696
20,q+PXpfDipermxtLGseWHtuXpstbAEn53Y6DrlBADtsvTt7DMtY/EfnF7fsXt8bH/uKv0yqzq38uQ8o7S/g==,c3U=,c2tupdjRpubpyeLYsvmPt/Dis9rDxeris+j0x9vUYnVzYsX453EDqs/bq7DZoeDuFHmr3MREdwAAhfHyhsbbyeHMr/yPnNrIiPXvyODCgN31gvv2UVgIV4DY1mBr0+u/hvO+1JWOUQXWvew7UUgNVlAcUgYMCAg=,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-DeepSearch:beab185e-cc30-4b33-a1bf-bf1a01982696
21,pOX3pcXjpermxeDvvd6Tt/HfsOHiydfnsOXzxeXGudrytpnRtZDkqfj6pqDXouLzx/TIqcHXqpKshsfsh+zlycfcrtCIm+LviPXYyvjzgcj+gMXciveJhtzxh5ye3PyPhcOS1Ymii6yAydihhNaZh9+CibCy3oKV0Kyvpe3Fp/DWpevtwsTVtsG0utrtstzwz/LNsv3IxPzJv/nIuqDCtJr3qtTQqYjfptjfz/PCqPLAoZaghNvJhPrJxvvBrOGvn9jCi+bZy9jsgP3SgdnYhNKdh+3KjY200OCbivyA2bWCi7OsyNuXhPqthtu/hqq13IGB06Sxp8Xyp/D3o8viHaHlzqSQwqfzyqn0pqn+xaPMvKTLy63J38T7x8XV6aTB/sTs77zpranb/KrOxw==,enc=,c2tupsHApOzLxtTds/WCtPXesufdxejHFCw8R6b92ar93sj/wMXV6aPJ0sTs6L3wjqbR/6331cuNxYj3w5TZgaLx362/y4bc/oXYmaHc1pjT5obIxI+B5IDp+9O4qW8fTUPVr4jczZHWlNfX69jI6tbV2Z3UnZbbqYrS+9Wr7u6k2PCjoMem7ubF9NyqxNSgnNSg+N20tvi37dSm+blhO1QkPDJzYQ8jMi96Sy4hJiBgJkFNTEJBa0FXAKHgxqyH8Ifc2IXhk6Ht1ZTryITWzYGl0YHY8tSVk4y0wYWTkciQ9NqsnoWI8oCd1oOI0tixut+IkdymxqH20Kz127rLo6P786ab1a3HzKP4rKnH76DVm0tkfmWn56+p9Ki2xf+sxpC90fazu9ep/fJjrLyChPHaTJfxlqL706K14YXN5VKLrc6D88C02feW28XfxsuI/YLcjPXIzsXaqY/SwpLWiffY/dXJ2/bX0YTUgIvatrrR+OKo1tGq6dmvmN+l7efC09yt1ditsuyixvG9nMm06N+l77mu76m4zMKu9Iey0MGziMStzMJEcAAAhejQhPrJxejsrP60n/jhi/zSy9jJgsvQgdjSi+i5hd/Gipe509SvaVUdEMu78ta8u4WJ4oGXxY620tSIpN+Ikdq2w6Py163ozrXxh63e56i45aHPyqn+hqjZ1qHvrqTQ7Kr93sXJ1cXY56Xx9BVgquTYFnyh8MV5d8Gc71dYjs71F3W69cgYTI3Z4ltQwvjpVEBjit3+UlgCjdntUwAKFUUNQ0MTEA0+VR0Txc+Qhci6i/mCiKiH0Lit04OQpNnOp/XDpsjPxf3ysdyntsjzsfT+CHtxfXNhC3Zie3N3eRdzeBhkZ3lxZRFkdXNlEHdlfXh8bO2XUlFTWUNXGWd1aWQAWEJFZFtGDaH+/pjb6IXI942/x4Dp0tWAn4GQ7oWmgMmM2AsB,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-DeepSearch:beab185e-cc30-4b33-a1bf-bf1a01982696
22,p9nmcXh/dbfylKD56qSqza/V0arknKbL56LsrqT1xqDR3M/938bP3KX0w8jd/77Ij6rg+q/G1cqY2YTT8pfwra/b/qGe74T57obMt6LF2Zjd1IbM7Y2D1oDbxNWApo2T8oSptMW92NWvgoSf1IWt4I6e1tmml9Cdk9ymz63H+a7R7rfllqLI1Ke82qDB4qn6t6jl6q3ckabu3qD45sX79cTo36n338Xx07/OpKrz2aDR9suOx4fO5pf+pqDcwaCY64rb/4fQgKvZ6ZXPzVNCUljf29GE8r/Xie3I7+bWoIYGUgIDyNiFjdqkhfy1iKeB3IGG07anquTCpNLJpe/XxdfAsPirt/DiuvDIxcv0sNnbxcbwuePXtI3NtbviqdHEqYfko8D7dCcrqsHYra6lFwkLhM75xePhrt6kl976,cA==,c2tupcHepO7LxtTds/WCtPXesufdz/LJsNXOx/XyYnVzZsbh78je/ab3wM/oyb/1jqfg6Ht+dxrF2tWK2cycqtmy08DG2N6N4NKPk8qAwOa33duVz8QMVIDQ6N6EuYGV3Ya5rsuj1NqkmYWJ2FQdUFIeUx8F1oS+0ZWQp9XGqurVpsnlxs3BvOehtfnNstbAws7Ys9n6EnFiZKD45sT57cXa0qbTysb0+bDakajwwqzr08yg/2tcT1KRn9ywzOESSFBRi9rcy+TZjf7igt/8hs2sh8v5hYyp2tmhivu22IKPh7aby/e2h9+bhfa3iZeS3Lat0K+xpN3hptjrp93bxczxtsG9u8b4sPLTxtLFs+HIxuHsuMvwtZ7PtpnkqfvvqpjHrebFws/Sqcz9rLqOhsz5js71x+b7oeqEkcD9ifjGy83ljdbSg9DwhPK+iuzbhK2X0Mubh9uJZExNDlxBDTJGCwBZjdq5h4OB3LOg9I7Q1Oqr68mo5fmsqf2u6MjD08pvdWxkAG5ldk9hDmG2wNmm5oIVMlk8IzNpHVc9Iyy7nMeo//mrzrzi1If4zpfRoaLx4qOpwY3Z54XhraL57Jjd0oTM9I6a3o3v09aGu4CU14aJlsmM8duNvISU9I+M24Gr5dWMrNGthdyY5qH20KDz0LvInaLd3aSz+az1zqP4rKnk+K38hKTY1qDJ+cbd2sPQxgcsL1I4ICsnw8/Fo/XCpq6qUlhWWJH5q6jpxaeg8gQKAggEQjYAhvDYgPP+gOiwLwwFDFhfXRFegOO40622QhMTDUERQkYnVkgRhKyZ36iu0Y2UpfjfpOPUpermyPrSscSFscjStszOZiskJCk3UzKz0M6k3bGp8qy22/eg2ZR0ETktTCA8bBo5LEhUgeHzjs71xs7rrMyQkM3Aitv7xfr0gP/CjcD+hf+Mi/LVhomCB1UdW4aKhMKI7teLoIadxIO96lQBUADUgIzXprfR2MGn1Pio+Oaur9Wp9c3D08pvdWxkAG5ldk9nDmG1zO2nwrym54K38dCu5bmw/fW8ntyryeysxbPD4+tfWEpAw8ferMuxkMPpiPTexNPRRSQyHA0dEUhpFQwHFtO4qIqR74W6jsi80tuciIWJ8Y6T84O+8NiQtd6lgNCh9qH2+Xp9cGaumfCu6M3E68Wo+eqhsMZ3ZnRixfjktdXPtbrFurfgqfj9q6/FrfnYw8/MbGluZQ4AQ0FkV1xZxdv9r9S8n9bHid75yu/8gcj+jd/hhu2fgOX8gbGyUwpBCA9cQkjX4rjWovDZw+rL9dDY9oQRbVlLWlZEYhY5Ki45o9LWz/jNssietsD/vePhxPbWvvvDxc7BuOTNtLf3urfkqPnzfBBmdb3tlKDywK7i48uw61NeUEKcmfOw2crH4uaM+dONlPCA6uG7xO2R4+oaQkVBQhEYFW8aTUPWrIXS8q/UmcPW3/fKyf/V2Z3Zh6vXs5zUwtitw8IAKDYlSSMpIDLD08Oq2t2sgcKjwfO7t/VwBCQ4Pk8zc3MnJSc9rKDJquTYxsbwqcH+rYGFh9n9iczoxcjEoeWsnvXTh/TcyfzfV0BhV4TL14eG7oHZ79aUk4C961EDAR3R24fWve/W+OLE9dbU2ITUtqnal7XVwsduY2htYXJrAE55emHFz+CpxdCjlOyi69S1i9i06Oinwrym54KyzN0vIUw/KTcmRav236Hw1A7Gzu2I+sCboNq69cjG8vGA4fWOpMSD+fm1yO2U+Nrf8uiGxYHcjd/P4/9HWEgUUx8TTgBDBg9KAwgdQURZXBheV0pCYiI8Jik5YTMmRTYoNyBOcyw2Oy03VDdpdiAqSS01fGUMKwAVNkEiP2EbJ0M7JjAxVGNuISA8N0FSAQACDV5ZUyIjLCoMWAMQCRYbWWhFERg6FkEbEEhXB0UVEEhRWwIBQwpfXERXC0cTTAdXAw9fEUoRCF5HUEtbVFVTYjY6MSEjJn5rTSUldDZPPikheWwhUCc1PiQ8WW1wMiA1Jlltc1A1LSIsYgA8Kjksws/TbGluZQ4AQ0FkWFxZxdv9r82gnv7sifnsy+npg+vhgdnfhseBhOzfhJy00PWght+z1YmAhouJeQlUhO67iua0FVhU3qK20JS6pN78rPTBpOv9yOrgstSQvPTDsPLTxcb1sejGxuDYtP37YMPB0Q==,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-DeepSearch:beab185e-cc30-4b33-a1bf-bf1a01982696
23,pv3jptPwqfzqx+rWst2atuXpsfDez/LNFQYUz/3ZtP3/t6rftLrUAg4AbhJkdG+xndyq9OSh+aLF5tCI/ftZFnd1rNStns/Gi9/nxMTsg/nYje/Fhtati+Lwhbi01uWvhv+b2JKthomoxOaghe+hh9imhYiK3YCf2YW6p+HUpd39perxye/ZsPmgtcDZvOfcxPTJsd/WycHZtszKsaDDtp7HqcnPqLzUrPPMx9XKpeLWoZagiuHnh/vyxdXZoO+4nNjph+Phy83ugMf9gMXohtirjdn+,d3Y=,c2tuq+fLpNrgxcP7sPqbtsLuvNDEyOjEsNr3xsjut9/FtI/Vu5XLDwIPbm4bDHhmEH55bK/o2cut9o7S+1IRVDMlOn4PVxUSGU0GQi1LBh58BgIUTA5TDgBOBl4HUwxJXltqB2hyKntiCwBFFgdOCltfawIfGd6fld6X7KLexaDq4rrqiKHMwa6c367G66nMkKv84qLoh6TYx6Dsxcbv5sTo9qPJ0sn/3bzurK3O0a7Uwci844jF+ZD5vKHV8qGo/oDl80NVDXJXUp/v/oTL14+AxYDp9dSVooOD1oeLis+0/tqYtYWJ4oSt/4Gr5datudGZrtu23qPO+K3Fx7DLvWR8dHQXZ0J8e2yhkMih7Mm6oMS3/sWk37WmyJi1y86m8qyx+8+xqP97fw==,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-DeepSearch:beab185e-cc30-4b33-a1bf-bf1a01982696
24,pNreqtfkpMnpydPpvdyCttrDs9PUxd7Is+jFxdH7ttDxt43WtLrUq/r2q631o9DExd7WqfD6rJCkh9nghNznyd7Qr8qyne3Si9reyfzoguvrgPH+jNS2h/nJUALdjNHF3PrXiInQ2InUuf7X9cPK+OLV2Z3Wu4HXv7TT0suq+N6p+v6tv9So8tfFyNaq6N6iu/wIAKDOiKfi6aLv88bT/sbE8qjOwcf08bzun6DywKHx3MeG9Yf105fUsKDPzaKG+ofa24XwgqH+0Zfo8IThyYyCyILE/NmXqErI6cvVjIbcxaHbpNPU0/PI3ubW+7Tehac=,p+jXpcrSpvvxD6LDy6aJ6Wem6NyhhOeg8uK3vOI=,c2tupubXpe/GxczxvO6NturMsfTpxsHVs8rYx9vUtd7jAWUXFm4ECQQHq6/eoPftxfXaqsHeoL+4DggABgsMxdXZPSxFQGhXQEOOpPqA7cC33+2W2dLd+OGG9q7eosDI6+XWuIbQ2okHA1fU8OocU0gGawMfGdCcl96Y1aDw1K3F8bbzjaPD7aS8+3+pycStucqt6dRYFG9wttXdtZTjtq/Bq8/5fBNkcmllxeHWqt/3LEBTTDUZCAYNRTWw2cjG1ceD9deOu/Q+NjUFIC8mJi10P0IyF0FdR0JgNUPVgpTTzJLVv8zX9tjE5enWwYTVg4fVrL3Q9M2owudHdHxrxs3/scmQAD0/MD6ijcKjzfe2n+C20equ7qyk24S22uysy5azxO2ypNCo0eyo/77E29uI4+2eif0=,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-DeepSearch:beab185e-cc30-4b33-a1bf-bf1a01982696
