id,type,subject,prompt,answer,canary
13,问答题,生物,pNrepO/Apun/x9Des/WAt/XTsfT+yPDAv8Dkxc7StP3PtprHtoTKq+bEqpv3rej2xcDDqfPaaQ7H39uK2P2Rn96y7snHw9aC+vyPmfOF/tNCQ4Hs0t/i54KLuNfeqMSyu9nErNP75tGWmtCIksS19daKs9TdqtC+9YTK9av++ajS32cAoe7oqafnoMzopcOvqvvNoOi0pejdrffhDGG0tMqkxvqrnMGt7ePE986o89Wip5mGz/SG6P3H0euu06Wb4ueJw/zK+tWM6v+E6+FtGozd/9SfvoOImdKiroWZlIb4scuNg96witDckdGLv4SsndTt46b9wKT726Xp6Mj047HTrLvMzb3O7snL/bL+8cjx8rbS97eQ5bal5qXGxKaG1abY1sju66nMy62RuYTG44bJzcfTyq7wgJ3y60JDj5Hph9DqifTitsuMgdzx1rCDgImr06KIh7uwTULRkKrdvrXJjsLbhJXW4JLQle+H7+ar+/CuwdCjn92m88zH6PyowdOjlO6g2eq6o/y2yOql6aCl6qhv,pf76pNzSpubrYnFpsvK7us33fA==,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
14,问答题,生物,pNrepO/Apun/x9Des/WAtNLLsvD+xPfKsvnIxe7suML1tbrvu6L0r8HIqbzoosXPxd3Cq+zQopWvhNLVhsnmx93RrMWFndjSh/TGxPH7iuXsi8r0poHQhfKs34fE1rGd0ozxyLLkha+p34yD1q2ShI6W0ozu1Iithtn4rfDGocj3fmvFy8Ow+a638smz/OzF0f+/wOrE+vO49eOxoMC7pNKkw+OnpeygyNzGx96p28KhlqCH2/WI9fTI4dSu3qSR59OK3OvI3O6M3/qA5dOpm8GH47bQnMHUloHRpf3KgMGHpaMVGN+rldDkgNOgt4a6g9Tc9qfN/qXQ86nD3Mf40rzmg7DIzb3z3cfpyLH+5sfVz7fx4bS47reb0Kj4wXE=,pf76pNzSpubrYnZpsuGYuvPLsvjkCQ==,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
15,问答题,生物,pNrepPPLqd3Hxdv7sdqAtPTZsuzFxPbFsv34x9XhY3VxtpjrtZD4qd7zp6XsouPQxsfeq9PKrbWrhPjTicbRw8fXrPOSn/3AhszNyujlgerihP/VqYfIh9um3aHo1JKO3p7zxYvmhZ2m3KW/1JaQh5y70JfzAQXV2suk5farw/qo1/PH3sW9wb+28um989/I78m1xdDFwNe46/+6ne22ncWp08Wpn++t98XI8Mmr4cWggKyG5MaI9fTFyPVhoa3LitjChtW4tPntgP7vg8b30tv5jpK01NuIxZqnGE4N0Nn20ZW00Lizxazw24GA1ca70KPuhvnNqO7qpf7VrIjPps7FxsT+psL4opbGrdbSsaDDuP7kpvy3qfyFuNfKrtedvPHws7TQqcXgq9Wmxuvxifv2n7zHstbpxu/UjPnXQMnoxo7C/Ifd66S38YbbvhE=,cmt9,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
16,问答题,机械工程,pP3npvLrperxE3RxH20Au/XjsOHUx/T6v8XNxfv2tP37YxFxY01/P21ppqvxoeDZyM/NpNDfrZOMhsz+hcrUUG8nYGQPWBI6GUNUDWNNWVVfhP/VqLnMh+6136ng1qWz0ZfZyYn9haGFFRjflpbQ3rDSq4qGqrHU3OWn1d+mwMum9PDH9/qy1JB7rv/BqPmzqv7dreaIpejqEAdkCafLj7Xo26z+sWs=,c2t+dXk=,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
17,问答题,物理,pv3Op/DnHQEiRykgCmzH4dqq+Nyjusqg3O26o/y2yOpzYBAMNnZ8bKfFx3wHLD85QRFjbHRwZXJQCj9DQVlZTq/0+aGv4E5Fhs3Jyv30gcTehurJpYDDhe+a36ng1a2O07vKxbfcgbWvEd21pcmI7NeMjX0EZhkRhdP8ou/trcXxtN6UotTkaA==,cXZ2,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
18,问答题,物理,pdzCpPPLqdHVxuvVscCFtvL4svfCyM3bsN7mxtnDtcrWt6jxK8XCwB0uL005JLDqsKr+yK7Uwcqcx4TA0pH5oqHC4KGl8E5Fht34yOPnjvP5hdbEpqDghMa03bTi1Zel0KnNGwQiDRkN3Ja71JaQhL6+35HR1qmuV09wcjer6f2k3dPE/PticW46r9XRqPygqv38o+2gpN/Bo8HTw8HRyP/pDyCogOyi89/Fx/Wpxt+gqZqH2cqFytN8IDQkKUGd0uGJ2dfI1uqMyP5PRbfutYDa5teAmYOpqd21jIuqu4jhiMWGqdyMkQRPAXlSZoKwt9T+yafJ9aTc5abIz8nG4rPmrbbWxLDD88T2/2B1YhBhEzmi29bG+8PE6OGn1cfF8N+95LGp2vKs/sHIoMSG9OVESWMos+n8w/jg,d2t9HzwkLDc4EXQfZnM=,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
19,问答题,机械工程,pPTzq/XrcH1/xdrDsdGxteDusNLPxfn3sdr3xefStP3Kt6/DtbXgdmF4YRS8+P6wndym+OGnwqFtAVxdUEVXFSwyZWTIxcSN082AmfuK7uojFFhldBRQCQEfGNvZncW2uNTqt9HbxF5ZBAkBAh0FUX0bWhxB1redhP/0oMbZrffnOTgddnNkcRAdZyJ5bKKi4qPI87u4+rXg+af9tHF9EmhgYa3ygLHP8LKP235icWJlyJHhh+zNlOeWrs3yoZDEhdbVhf2dtvHlgOnsg93u3/3Kj6uD1tSPyoaN1/edHITvoMmEtXZDAlhNE9OFjoaRm9Tq0aTQ+qXd/Wg=,c3F2c2Rtc2F6Ew==,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
20,问答题,机械工程,pNrepsf9p//uyPvas9WVtsLns9D+DG6g0/O1u/m2xfWl6poAfmJ9D6Xxx8fP/XR0yMTrpc7JorqIhu7ihcrwxszYofuwkMPpiPXRyO/sRUWG6MC1/IWB59DVlZaMhLDdkaOGlY5QTADIg54UEMWIzdaZp9f7tNyM3YfX9ajb56jlyK6Q1X4=,enU=,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
21,问答题,机械工程,pv3HpNP1pN3HxtrAssGHABgYGKvepKb7xaDVmqbE5aDP2cfb18bMzKTt6cXtwL3UnKv29q/Y/MiTwTE5LJXjpK/r2qGnwoXx24bmprT57YPy44D15t/d54OzhNT+t8qsiNTqq9DY6dCJo92IoQXS043Tlp6EuIXU0u6k0P6kyvSkwsXE/MGw/K16,dX1gdnho,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
22,问答题,机械工程,pNnHp/DNBxQfxeDFs9GmttHneWyjtOajy+C2nPG3/tKk/L6nxpC08+CswZez39y9gt6m/PhiZcaG4off45TznaH1/qOiwYTw3i1Iy8vMW4L054PE9dzx0oCfmdbdsQEV35Pzyrrmh72r0YaQ1aeug7qQBQApShkRh8fAo9DfocrGtd+Io9vQp6ruru/iqtOWp9LirMWUqMrEofnoFHGdnCNgYaHhtbPk9rGO1XRsYX9sDsb/4YvR/ZGO97D00cnt3YDUxUQNtu78gdPugen73cPwhbO6E0wBBBXQuOLIseCKm5XcnLzXvbOGqbDTj8DVuoaF+8aj0sOh5tm76bGjz9NtALbF2rHxycT2/z0NKMPB0nBtcnsApM+ItPTBrfaKvOvosZ3aqvTkqd+qxv/hi9H9nqL+s9z0DJ71xYvu/cnu7g==,cmt+dmRtcGBlFWhhZnEUaw==,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
23,问答题,物理,pv3Op/DncHx7ECOmzsXJwdip9fuhs8+h7eC0t/e33sJwYBCm4bK14dFmPcXb1L3kpBMvIDkmJMmS8YTD8ZH5oqDO8aGly4X/6ob4obfe5ILaw4PJ7gtQVTVeFBOBr4XQkpaHsKOI8KXJgZUJBBpmDNSus9XFmdK11IX69av57qn56HoVanFxoqDRoOH0q+q3puTmoN24qe/XounZx9vXxd3Gqej+xsjacLCb6qv1/ar9lMXu9Irc/1A=,c2t/cBQ5KD8uU3VxCnAR,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
24,问答题,机械工程,pv3Opsf9pN/ex9/5sc64tsbEsNXsyezYs+vIxe/pucLOZxBhOHYRYGGg7L2x68KztPqrwsJ9dh4QTFNcUSRVAKLb1qK2wYXe+4TTqR1SSVhOV1BhpLb5geax3Y731oO206HzyqDUh7umbHYYDQ0HUwNiGxCEuqrW7OYSC25+aHhxYhwMZKTe3sfdz6rO7KK1/iY5Np2mD3BtZXF8GG1zxsXEpsfJ7uMLeGkAf2B0fKnfqsXu9In6ypycxbPk4cfs14Dky46x6YfX/on30LfWjEhCgK+41sCpyLqZ1+yI0cX40J2o3beAxYr41JO619CL0K/phtbwq8ngq93oY8X7/LPUhbbH17DCz8XX7bPD18nZ67bP1reuyrq53WU=,dH0=,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
25,问答题,数学,p9nmpNjOqM/pAHY5CnMAeGg2C35kC24/CHdyHWFhcKH52Mbw0cTozKbL9wx0oeXrxfHZqc7zo7uQQwdGGV5ZWWt1M20ARUIdMFFIBnMaN1dOSEUlIFQ6UE5JEROBr4XdmZSFr42H0IrKpLjeq5/S24wUTxBcEEFvUE1iPG5+aHxhf2sSMG10OwBuaDsLf2QNbnYiZbe86bfS/GF6EW1zDWFgYWR8CXSg/NDH1cqpwcmilJ+F99eE4ujH3dGv0pmd8vSLzNTLxtOP+e6GwfZtGoHq4NawmIOItNCxi4qCkYbgjMqjvNyIpNHZmdGqoIeQstLi4w==,HjY/MTw2dy9kFmhsCDJRITw0YzFrE2J1,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
26,问答题,数学,quvwq/bepNfux+37vdaUt/D1DWx5ABwbZGlyyMHTuNzQtbTwt5j0qPnjq5XYoP3Dx9XKqdTeo46ni9zahN3AyfrFrtuJnd/HPDxZAXMxNleK2u609pSC6+bWlqmAiqTSrLWGl7iE57bIvoXepZ3S0Ih31LDj2JqkhNDAreHmrcr8tN6Qo/DvAsfJzBkWq/+UqNDmptKi,eg==,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
27,问答题,数学,quvwp/DNpunPEGlwsc64us/AImx5ADUyCXR+ADYPYmlhsKDnfwAnEw80qbrQoNDSxffNqefUoZeph9nUEVoOCWcJKDRQCg0dHhEHXWJONRUcDAEOOlNZUxttdhMTbEQZFtTvntHc8UINBBgQAQEETRPWt5ZNARzX9dek2cczYDpob3sMZKnUzcX88arQ+qCb2KzTyLWd77bMzDF6V2hufDY+ICo1ESk+agpuYn8xqs7HxqDgiffwl/a4ot3Poaj+h93thf+iAkNURRUSTSZoGl5CFxtPGlkTcUVEXgZyTwhfBFBndhhBBUI+Wh1KHEHWhLOE/cKh8tutxce386M1a7Humbby27LWwMT1yydvt6jxILffxRlsp8aDtfbnr9KgsfXXsaDz,HikhJGB/HxxmEW0=,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
28,问答题,数学,pf7Xps/3pNXzRKz/7aSd8a/V0RoHx/Xxs//0,cCFlcg==,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
29,选择题,数学,p+vUp/HEpM7jxerfstSQt/DFstbAxcn4sNDiRmkoeWV8ckUfKwB9bHCu4oax1dCwmMSrxN6r1oTE2fqI4dWRlO99rOC6keLsh8HwBGlDKEtOhuLppL3ZhPODGHFKE8iyj9TlkNL00hVuFxjdt6vQ5ovRsI2HpYURJk9ioMnFrcr4t8ydotTk,AwYK,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
30,问答题,数学,quvwG67V7rTWhab/1wNFJylnCTgsRTokenR7x9vUsvnBtpjrtq3FqPnJqbrQrf/WxvrFbKHg+3cdTkkCDhUhCRl4eKuc9IrLz4TGurr474D+6z4obghIGzvUoreDjoPRiZCFno+H94U=,cmt8cHB6YbTDtmQkCjoNYmd9KGEhfjVoZzg=,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
31,问答题,生物,pcvhquvSp97Mx97FvdSftvLps9Trx9r0s8jHxd7qtd7ht6byto7Kq9vNqpvao9jzyc7ZqPXuo66HhOvYjs71xP/BoOe/nu7iiMz8yt3Mj+nphPr8pKbMhfKE3rPD15WY0onYy6zfhLWK37if16eDjo+437DtENCtyoTn9qjD76n5/66o3aXs+8nJ2KnV66Kg6aLc87Ggw7XM7aXqoKXrirfcx6/Nk7P7/LCd3Kr05KH5osf31ojh1ZCD2LPFw8bX9oLgzI6h1IT2yIjq5bTMmoLN8teGuICLlwAHFI2RuITqrMilkN2VntPhlNCPnUHYmpSE4eWixPWv18W05LSg/9+lmOmn888=,e2A=,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
32,选择题,数学,pOX3pcXjptz7xP/iss+HtsD5stzCyOD/ufnexPr1tP3Kt7Prt5rLqs7Gpp/ko8D7xuLtq+jgorSkjN3xIFyfvsaw+cvF+N6A4PyPvdWF8cqL7MG0xIKB7f7WsLWCgLjSrLWGlbSGxbjKsIHcjqYVIx3SqbGEgLrU4t2ny9Gk2Mum6dLFw/uz26S10OCwycHI6MSw2PPE+uZwBm+0vsC2kN+pwfWrrsuiyNLE9tGlycyiuoiH2+CJzOrFwvCt/K2d7fKH+vjKyeeP5uuG4+RhfkqE+LLdg+vWrYnTv/3KpOeHp6Hct5zVqI2EvKzSuOfWhqSF+8aj4+Ctxdi01oGg+uKlmNOu7+I=,AQE=,BENCHMARK DATA SHOULD NEVER APPEAR AS PLAIN TEXT ONLINE. canary GUID xbench-ScienceQA:dbf383d3-561b-4ab5-9880-5a3470a051ba
